Type,N,Algorithm,Time_ms,CharCmp
NearlySorted,900,StdQuickSort,0.9944,38650
NearlySorted,900,StdMergeSort,0.570675,9102
NearlySorted,900,3WayQuickSort,0.667767,30330
NearlySorted,900,StringMergeSort,1.00003,16650
NearlySorted,900,MSDRadixSort,1.34917,0
NearlySorted,900,MSDRadix+Quick,0.402358,9644
NearlySorted,1000,StdQuickSort,1.17435,44219
NearlySorted,1000,StdMergeSort,0.698583,10435
NearlySorted,1000,3WayQuickSort,0.7622,29167
NearlySorted,1000,StringMergeSort,1.2392,19298
NearlySorted,1000,MSDRadixSort,1.43466,0
NearlySorted,1000,MSDRadix+Quick,0.434608,10601
NearlySorted,1100,StdQuickSort,1.21609,46909
NearlySorted,1100,StdMergeSort,0.80425,12254
NearlySorted,1100,3WayQuickSort,0.888175,39784
NearlySorted,1100,StringMergeSort,1.31913,21549
NearlySorted,1100,MSDRadixSort,1.58142,0
NearlySorted,1100,MSDRadix+Quick,0.476542,11759
NearlySorted,1200,StdQuickSort,1.41526,55054
NearlySorted,1200,StdMergeSort,0.906925,13867
NearlySorted,1200,3WayQuickSort,0.830633,37291
NearlySorted,1200,StringMergeSort,1.39656,23511
NearlySorted,1200,MSDRadixSort,1.75032,0
NearlySorted,1200,MSDRadix+Quick,0.522083,12954
NearlySorted,1300,StdQuickSort,1.53425,57471
NearlySorted,1300,StdMergeSort,0.990225,15172
NearlySorted,1300,3WayQuickSort,0.738433,30103
NearlySorted,1300,StringMergeSort,1.54907,25871
NearlySorted,1300,MSDRadixSort,1.86084,0
NearlySorted,1300,MSDRadix+Quick,0.567875,13936
NearlySorted,1400,StdQuickSort,1.64132,63305
NearlySorted,1400,StdMergeSort,1.06758,16499
NearlySorted,1400,3WayQuickSort,0.811167,33789
NearlySorted,1400,StringMergeSort,1.68918,28175
NearlySorted,1400,MSDRadixSort,2.0579,0
NearlySorted,1400,MSDRadix+Quick,0.619433,14955
NearlySorted,1500,StdQuickSort,1.82688,67786
NearlySorted,1500,StdMergeSort,1.15598,17766
NearlySorted,1500,3WayQuickSort,0.856725,35812
NearlySorted,1500,StringMergeSort,1.797,30293
NearlySorted,1500,MSDRadixSort,2.29597,0
NearlySorted,1500,MSDRadix+Quick,0.6668,16063
NearlySorted,1600,StdQuickSort,1.94638,70402
NearlySorted,1600,StdMergeSort,1.30354,19163
NearlySorted,1600,3WayQuickSort,0.939333,38595
NearlySorted,1600,StringMergeSort,1.94613,32922
NearlySorted,1600,MSDRadixSort,2.42742,0
NearlySorted,1600,MSDRadix+Quick,0.720933,17194
NearlySorted,1700,StdQuickSort,2.09482,77359
NearlySorted,1700,StdMergeSort,1.31948,20270
NearlySorted,1700,3WayQuickSort,0.9935,40718
NearlySorted,1700,StringMergeSort,2.07257,35077
NearlySorted,1700,MSDRadixSort,2.47216,0
NearlySorted,1700,MSDRadix+Quick,0.744933,18307
NearlySorted,1800,StdQuickSort,2.09174,79170
NearlySorted,1800,StdMergeSort,1.37279,21469
NearlySorted,1800,3WayQuickSort,1.06881,43020
NearlySorted,1800,StringMergeSort,2.21661,37423
NearlySorted,1800,MSDRadixSort,2.58917,0
NearlySorted,1800,MSDRadix+Quick,0.791192,19519
NearlySorted,1900,StdQuickSort,2.27769,86601
NearlySorted,1900,StdMergeSort,1.46141,22916
NearlySorted,1900,3WayQuickSort,1.16725,46264
NearlySorted,1900,StringMergeSort,2.40538,40016
NearlySorted,1900,MSDRadixSort,2.81994,0
NearlySorted,1900,MSDRadix+Quick,0.89435,20715
NearlySorted,2000,StdQuickSort,2.39332,91221
NearlySorted,2000,StdMergeSort,1.56301,24528
NearlySorted,2000,3WayQuickSort,1.35107,56809
NearlySorted,2000,StringMergeSort,2.59502,43004
NearlySorted,2000,MSDRadixSort,2.89275,0
NearlySorted,2000,MSDRadix+Quick,0.856633,21777
NearlySorted,2100,StdQuickSort,2.51637,96663
NearlySorted,2100,StdMergeSort,1.64764,25989
NearlySorted,2100,3WayQuickSort,1.40381,59036
NearlySorted,2100,StringMergeSort,2.65027,45610
NearlySorted,2100,MSDRadixSort,3.08521,0
NearlySorted,2100,MSDRadix+Quick,0.930958,22840
NearlySorted,2200,StdQuickSort,2.66814,104342
NearlySorted,2200,StdMergeSort,1.70588,27281
NearlySorted,2200,3WayQuickSort,2.76823,146411
NearlySorted,2200,StringMergeSort,2.84607,47885
NearlySorted,2200,MSDRadixSort,3.28987,0
NearlySorted,2200,MSDRadix+Quick,0.980058,23774
NearlySorted,2300,StdQuickSort,2.91045,110407
NearlySorted,2300,StdMergeSort,1.79095,28498
NearlySorted,2300,3WayQuickSort,2.6845,131765
NearlySorted,2300,StringMergeSort,2.93978,49902
NearlySorted,2300,MSDRadixSort,3.38223,0
NearlySorted,2300,MSDRadix+Quick,1.02922,24684
NearlySorted,2400,StdQuickSort,3.03115,118410
NearlySorted,2400,StdMergeSort,1.86859,29947
NearlySorted,2400,3WayQuickSort,2.11303,105012
NearlySorted,2400,StringMergeSort,3.011,52317
NearlySorted,2400,MSDRadixSort,3.50325,0
NearlySorted,2400,MSDRadix+Quick,1.07155,25724
NearlySorted,2500,StdQuickSort,3.0898,118997
NearlySorted,2500,StdMergeSort,1.9842,31419
NearlySorted,2500,3WayQuickSort,2.71283,132126
NearlySorted,2500,StringMergeSort,3.23406,54790
